Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
senbo                      2441.2  2423.9  2382.7  2388.2  2422.0  2480.8  2476.8  2444.8  2454.7  2488.2  2499.6  2511.1  2494.5  2488.8  2493.4  2503.5  2549.6  2471.8  2474.9  2517.6  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0  2565.0
MariiaChe                  2440.2  2440.2  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1  2440.1
leszczyn                   2434.9  2457.1  2519.7  2586.2  2644.6  2614.8  2640.8  2614.8  2608.9  2596.6  2620.8  2675.6  2654.9  2640.4  2632.2  2644.2  2619.5  2550.1  2549.2  2559.2  2506.8  2501.3  2535.8  2570.2  2604.7  2605.4  2605.4  2605.4  2605.4  2605.4  2605.3  2605.3  2605.3  2605.3
bodziu                     2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2414.9  2361.2  2363.5  2331.2  2350.6  2362.6  2399.3  2480.7  2537.5  2480.3  2527.0  2527.0  2527.0  2527.0  2527.0  2527.0  2527.0
cusp                       2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2409.8  2354.8  2360.6  2360.6  2360.6  2360.6  2360.6  2360.5  2360.5  2360.5  2360.5  2360.5  2360.5
kobuz                      2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2408.0  2498.9  2527.9  2495.0  2456.6  2402.0  2402.0  2402.0  2402.0
barty                      2406.8  2406.8  2406.8  2406.8  2406.8  2406.8  2406.8  2406.8  2406.8  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.9  2406.8  2406.8  2406.8  2406.8  2406.8  2406.8  2397.4
TinyFox                    2401.9  2401.9  2401.9  2401.9  2401.9  2401.9  2401.9  2401.9  2401.9  2401.9  2401.9  2401.9  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2401.8  2416.2  2458.7  2526.5  2575.5  2583.1  2544.2  2597.4  2589.3
wysek                      2399.8  2399.8  2399.8  2399.8  2399.8  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2399.7  2397.3  2375.1  2375.1  2375.1  2375.1  2375.1  2375.1  2375.1  2375.1
SiroWirdo                  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2399.5  2337.6  2352.4  2350.5  2348.5  2346.6  2344.6  2344.3  2405.9  2450.3  2499.0  2483.5  2446.4  2481.2  2520.9  2509.0  2509.0  2509.0  2509.0  2509.0  2509.0
dresu                      2396.2  2396.2  2396.2  2396.2  2396.2  2396.2  2396.2  2396.2  2396.2  2396.3  2396.3  2396.3  2424.8  2409.7  2405.3  2400.8  2396.3  2391.9  2387.4  2382.9  2378.4  2374.0  2369.5  2365.0  2360.6  2356.1  2408.8  2408.8  2408.8  2408.8  2408.8  2408.8  2408.8  2408.8
m1nd0nf1r3                 2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.7  2394.6  2394.6  2394.6  2315.4  2280.3  2219.5  2201.6  2253.2  2299.4  2345.7  2391.9  2438.2  2484.4  2530.7  2576.9  2623.2  2669.4  2655.3  2660.4  2660.4  2660.4
Woj                        2390.1  2341.5  2365.1  2391.5  2375.3  2400.6  2390.6  2375.6  2376.5  2419.2  2407.9  2448.5  2402.8  2416.0  2372.4  2337.7  2329.0  2373.8  2389.4  2380.0  2369.5  2388.6  2388.1  2379.1  2376.9  2451.0  2402.8  2321.1  2290.5  2260.0  2250.8  2241.7  2232.5  2223.4
szkielet                   2389.8  2389.8  2389.8  2389.8  2389.8  2389.9  2389.9  2389.9  2389.9  2389.9  2390.0  2390.0  2340.3  2281.1  2268.8  2267.8  2300.0  2250.4  2264.8  2264.2  2269.4  2281.3  2326.3  2363.5  2411.8  2342.8  2195.3  2195.3  2195.3  2195.3  2195.4  2195.4  2195.4  2195.4
Diana                      2386.2  2386.2  2386.2  2386.2  2386.2  2335.2  2234.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0  2229.0
alvar                      2374.0  2397.8  2386.8  2389.7  2421.5  2434.6  2433.9  2448.3  2462.7  2447.8  2471.0  2527.6  2536.6  2518.9  2441.3  2468.4  2495.6  2526.1  2556.5  2547.9  2514.7  2526.9  2489.2  2518.9  2584.4  2585.9  2619.9  2640.8  2596.3  2535.2  2535.2  2535.2  2535.2  2535.2
n.stefanovych@ukr.net      2373.7  2373.7  2373.7  2373.7  2373.7  2373.7  2373.7  2373.7  2373.7  2373.7  2373.7  2373.7  2373.6  2373.6  2373.6  2373.6  2373.6  2400.8  2400.8  2400.8  2400.8  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9  2400.9
Sofiam                     2370.7  2370.7  2370.7  2370.7  2370.7  2370.7  2445.9  2469.7  2511.4  2504.7  2488.5  2469.9  2451.3  2432.7  2414.1  2395.5  2377.0  2412.9  2456.0  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1  2436.1
Jasiek                     2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2368.5  2395.2  2369.3  2369.3  2369.3  2369.3  2369.3  2369.3  2369.3  2369.3  2369.4  2369.4  2369.4  2369.4  2369.4  2369.4  2369.4  2369.4
Adrian                     2364.1  2364.1  2428.0  2451.2  2440.8  2430.4  2420.0  2409.6  2399.2  2388.8  2378.4  2357.6  2336.7  2330.2  2306.4  2282.6  2258.8  2235.0  2211.2  2188.5  2123.6  2110.1  2110.1  2110.1  2110.1  2110.1  2110.1  2110.1  2110.2  2110.2  2110.2  2110.2  2110.2  2110.2
Kira                       2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2355.1  2389.6  2369.6  2337.6  2358.6  2374.0  2334.2  2327.9  2323.3  2323.3  2323.3  2323.3  2323.3  2323.3  2323.3  2323.3  2323.3  2323.4  2323.4  2323.4  2323.4  2323.4
lethern                    2350.1  2350.1  2350.1  2350.1  2350.1  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3  2339.3
JCDenton                   2341.1  2297.4  2295.1  2235.1  2185.4  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8  2184.8
ajka                       2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.8  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.6  2340.6  2340.6
Aegle                      2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.7  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6  2340.6
Michal Kruk                2331.3  2331.3  2331.3  2372.7  2385.6  2387.5  2387.5  2387.5  2387.5  2387.5  2387.5  2387.5  2387.5  2387.5  2387.4  2387.4  2387.4  2387.5  2387.5  2387.5  2387.5  2387.5  2387.5  2387.4  2387.4  2387.4  2387.4  2387.4  2387.4  2387.4  2387.4  2387.5  2387.5  2387.5
gario                      2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.5  2327.4  2327.4  2327.4  2327.4  2327.5  2327.5  2327.5  2327.5  2327.5  2450.7  2474.2  2474.2  2474.2  2474.2  2474.2  2474.2  2474.2
Poziom                     2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0  2322.0
Serafym                    2313.2  2313.2  2313.2  2313.2  2313.2  2313.2  2313.2  2313.2  2313.2  2313.2  2313.1  2339.2  2313.9  2310.3  2318.7  2319.4  2319.4  2319.4  2319.4  2319.4  2319.4  2319.4  2319.4  2319.4  2319.5  2319.5  2319.5  2319.5  2319.5  2319.5  2319.5  2319.5  2319.5  2319.5
yapee                      2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2306.1  2298.6  2360.9  2391.8  2354.7  2409.0  2409.0  2409.0  2409.0  2409.0
pawel                      2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2305.1  2382.7  2382.7  2382.7  2382.7  2382.7  2382.7  2382.7  2382.7
blee.dublin                2304.3  2321.6  2306.7  2293.7  2274.4  2255.0  2235.6  2216.2  2196.8  2177.5  2158.1  2138.7  2151.9  2207.7  2205.6  2203.5  2201.3  2199.2  2197.0  2197.0  2197.0  2197.0  2197.0  2197.0  2197.0  2197.0  2197.1  2197.1  2197.1  2197.1  2197.1  2197.0  2197.0  2197.0
kojihu                     2297.0  2270.0  2259.5  2249.1  2238.7  2228.2  2217.8  2207.4  2187.9  2162.8  2197.1  2231.4  2230.1  2231.8  2233.4  2235.1  2236.8  2238.5  2240.2  2241.9  2243.5  2245.2  2246.9  2248.6  2250.3  2251.9  2253.6  2255.3  2257.0  2266.1  2325.5  2369.8  2347.0  2341.8
chincchapabo               2295.6  2295.6  2349.5  2349.5  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.6  2349.5  2349.5  2349.5  2349.5  2349.5
Blazej                     2294.5  2310.9  2298.5  2318.7  2362.4  2338.7  2330.0  2254.6  2224.6  2217.3  2232.5  2221.8  2223.3  2286.3  2354.7  2367.9  2356.3  2268.2  2224.3  2228.9  2249.0  2220.5  2214.3  2223.0  2248.9  2227.9  2166.8  2124.7  2107.3  2089.8  2089.8  2089.8  2089.8  2089.8
Aaali                      2287.5  2309.3  2341.6  2440.5  2459.7  2492.4  2487.2  2505.0  2542.6  2581.1  2545.8  2490.8  2527.3  2507.5  2515.8  2546.8  2553.7  2525.4  2505.9  2501.5  2566.8  2575.8  2555.7  2485.4  2444.1  2412.1  2323.5  2297.8  2321.0  2283.1  2283.1  2283.1  2283.1  2283.1
tay                        2286.5  2290.6  2266.0  2214.2  2224.6  2219.9  2156.9  2129.3  2077.6  2026.6  1958.5  1939.7  1920.9  1902.1  1883.4  1864.6  1865.9  1804.8  1799.9  1748.7  1668.2  1668.2  1668.2  1668.2  1668.2  1668.2  1668.2  1668.2  1668.2  1668.2  1668.3  1668.3  1668.3  1668.3
magiczny_michal            2283.2  2283.2  2283.2  2283.2  2283.2  2283.2  2283.2  2283.2  2283.1  2324.6  2380.6  2345.7  2355.8  2341.6  2342.8  2265.2  2265.2  2265.2  2265.2  2265.2  2265.2  2265.2  2265.2  2265.3  2265.3  2265.3  2265.3  2265.3  2265.3  2265.3  2265.3  2265.3  2265.3  2265.3
silk                       2278.6  2278.6  2278.6  2278.6  2278.6  2278.7  2278.7  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0  2325.0
savi                       2273.9  2273.9  2273.9  2273.9  2274.0  2274.0  2274.0  2274.1  2274.1  2260.3  2253.3  2268.8  2284.2  2299.7  2315.1  2330.6  2346.1  2378.7  2396.8  2415.3  2447.8  2439.7  2484.2  2512.7  2492.0  2471.2  2450.5  2429.7  2409.0  2418.3  2383.7  2387.0  2436.3  2496.8
Kubami                     2269.3  2269.3  2269.3  2269.3  2269.3  2269.3  2269.3  2269.2  2269.2  2269.2  2269.2  2269.2  2269.2  2269.2  2269.2  2269.2  2269.2  2269.2  2269.2  2286.6  2350.3  2407.4  2388.9  2362.8  2362.8  2362.8  2362.8  2362.8  2362.8  2362.8  2362.8  2362.8  2362.8  2362.8
Porebskis                  2263.8  2263.8  2263.8  2263.8  2263.8  2263.8  2263.8  2263.8  2263.8  2298.2  2272.7  2181.3  2143.9  2145.8  2156.5  2122.5  2129.0  2129.0  2129.0  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1  2129.1
Pedro                      2252.5  2252.5  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3  2278.3
Sichuan                    2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5  2248.5
IhnatiiI                   2246.1  2304.7  2297.7  2230.4  2203.7  2214.5  2211.7  2187.1  2118.5  2099.2  2117.4  2100.0  2081.8  2067.1  2067.1  2067.1  2067.1  2067.1  2067.1  2067.1  2067.1  2067.1  2067.1  2067.1  2067.1  2067.2  2067.2  2067.2  2067.2  2067.2  2067.2  2067.2  2067.2  2067.2
Beteigeuze                 2242.7  2308.0  2347.5  2320.4  2320.4  2320.4  2320.4  2320.4  2320.4  2320.4  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.5  2320.4  2320.4  2320.4  2320.4  2320.4  2320.4  2320.4  2320.4  2320.4
NotAHero                   2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2234.0  2233.9  2233.9  2233.9  2233.9  2233.9  2233.9  2233.9  2233.9  2234.0  2234.0  2234.0  2234.0  2221.7  2178.5  2135.3  2125.0  2114.8  2104.6  2104.6
Cypr14n                    2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8  2232.8
hobbit                     2232.1  2232.1  2232.1  2232.1  2232.1  2232.1  2232.1  2232.1  2232.1  2232.2  2232.2  2232.2  2232.2  2232.2  2232.2  2232.2  2232.2  2232.2  2232.2  2185.6  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9  2143.9
vali                       2231.7  2296.5  2287.5  2308.8  2327.6  2300.8  2304.5  2385.0  2407.5  2365.4  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.1  2318.2  2318.2  2318.2  2318.2  2318.2
grisworld                  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2228.5  2239.8  2239.8  2239.8  2239.8  2239.8  2239.8  2239.8  2239.8  2239.8  2239.8  2239.8
Muff0                      2228.4  2198.4  2133.9  2037.9  2008.7  1979.5  1975.7  2030.8  2049.2  2054.6  2068.6  2006.7  1987.4  1924.6  1911.0  1898.8  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7  1856.7
Bogdan13x                  2227.0  2227.0  2227.0  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2226.9  2292.7  2321.4  2331.5  2301.7  2335.5  2350.6  2367.9  2366.0  2298.2
ssokolow                   2221.6  2237.9  2206.9  2207.0  2231.1  2255.2  2248.2  2260.7  2265.9  2220.9  2146.9  2060.1  2055.7  2084.6  2113.6  2142.5  2171.4  2200.4  2229.3  2174.1  2179.6  2225.0  2227.1  2254.8  2247.3  2284.0  2273.3  2273.3  2273.3  2273.3  2273.3  2273.3  2273.3  2273.3
porandojin                 2217.5  2217.5  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2217.6  2275.0  2285.6
gbohus                     2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4  2214.4
nescitus                   2209.9  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2210.0  2198.7  2154.3  2094.9  2107.5  2062.6  2017.8  1973.0  1973.0  1973.0  1973.0  1973.0  1973.0  1973.0  1973.0  1973.0  1973.0  1973.0
Wojtek                     2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2208.7  2191.6  2203.6  2204.2  2204.2  2204.2  2204.2  2204.2  2204.2  2204.2  2204.2  2204.2  2204.2  2204.2  2204.2
Maciej                     2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6  2197.6
wookee                     2191.9  2191.9  2191.9  2191.9  2191.9  2191.9  2191.8  2191.8  2191.8  2191.8  2191.8  2191.8  2191.8  2191.8  2191.8  2191.8  2191.8  2241.5  2246.6  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8  2318.8
Przemo                     2182.7  2182.6  2183.8  2185.3  2147.3  2087.1  2022.9  1942.8  1897.4  1890.6  1862.1  1886.0  1917.2  1934.8  2024.1  2047.7  2025.1  1951.8  1933.0  1949.1  1985.6  1965.7  1991.6  1988.2  1984.7  1984.7  1984.7  1984.7  1984.7  1984.7  1984.7  1984.6  1984.6  1984.6
sigm                       2181.4  2187.1  2107.5  2088.7  2035.3  2021.0  2035.7  2029.3  2007.1  2035.7  2020.4  2005.6  2052.5  2086.9  2035.9  2030.3  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1  1952.1
AntekHanke                 2169.0  2169.0  2169.0  2169.0  2199.3  2229.7  2260.1  2290.4  2320.8  2351.2  2381.5  2378.4  2375.3  2372.2  2369.1  2366.0  2362.9  2359.8  2356.7  2353.6  2350.5  2347.4  2393.9  2393.9  2394.0  2394.0  2394.0  2394.0  2394.0  2394.0  2394.0  2394.0  2394.0  2394.0
gfdhfff                    2166.8  2166.8  2166.8  2166.8  2166.8  2166.8  2166.8  2166.8  2166.8  2166.8  2166.8  2259.4  2307.7  2315.1  2322.6  2330.0  2337.4  2344.8  2352.2  2359.7  2367.1  2374.5  2382.0  2389.4  2432.1  2427.7  2427.7  2427.7  2427.7  2427.7  2427.7  2427.7  2427.7  2427.7
ZyBeX86                    2157.9  2157.9  2157.9  2157.9  2157.9  2157.9  2157.9  2157.9  2157.9  2157.9  2258.7  2261.0  2263.2  2265.5  2314.2  2323.5  2332.8  2313.2  2280.3  2243.0  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3  2260.3
Rocher                     2157.3  2157.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3  2210.3
steved                     2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9  2155.9
padura                     2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2154.4  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3  2167.3
Sevnin                     2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9  2148.9
Labda                      2145.4  2147.1  2129.4  2138.4  2177.9  2176.7  2195.7  2227.6  2239.8  2179.6  2136.1  2102.4  2068.7  2035.0  2001.3  1967.6  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9  1933.9
tomms                      2145.0  2145.0  2145.0  2145.0  2145.0  2145.0  2112.9  2049.1  1953.4  1961.4  1969.4  1977.5  1985.5  1970.4  1959.7  2023.8  2071.8  2099.5  2127.2  2115.1  2093.0  2093.0  2093.0  2093.0  2093.0  2093.0  2093.1  2093.1  2093.1  2093.1  2093.1  2093.1  2093.1  2093.1
marmez                     2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.4  2139.3  2100.0  2040.0  2052.5  2064.3  2076.2  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.1  2088.2  2088.2
Thuran                     2135.3  2120.5  2203.6  2210.5  2238.8  2267.0  2249.1  2239.4  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.6  2266.6  2266.6  2266.6  2266.6  2266.6  2266.6  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7  2266.7
December                   2133.2  2133.2  2133.2  2133.2  2133.2  2133.2  2133.2  2133.2  2133.2  2133.2  2128.2  2117.7  2100.3  2114.6  2114.6  2114.6  2114.6  2114.6  2114.6  2114.6  2114.6  2114.6  2114.6  2114.6  2114.6  2114.7  2114.7  2114.7  2114.7  2114.7  2114.7  2114.7  2114.7  2114.7
CrisBratu                  2126.2  2126.2  2126.2  2126.2  2126.2  2126.2  2126.2  2126.1  2111.9  2106.5  2091.1  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.0  2091.1  2091.1  2091.1  2091.1  2091.1  2091.1  2091.1  2091.1  2091.2
dQ_Qb                      2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5  2122.5
Christoph                  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9  2113.9
mremre                     2111.5  2111.5  2111.5  2067.5  2078.9  2090.3  2101.7  2113.2  2124.6  2136.0  2147.5  2158.9  2219.1  2221.3  2224.1  2226.9  2229.8  2267.0  2256.5  2221.2  2219.1  2167.8  2181.2  2181.2  2181.2  2181.3  2181.3  2181.3  2181.3  2181.3  2181.3  2181.3  2181.3  2181.3
